"id","word","pronunciation","meaning","audio_path","POS","Lv"
1,仕事,しごと,"일, 직업",,명사(名詞),5
2,財布,さいふ,지갑,,동사(動詞),5
3,右,みぎ,오른쪽,,명사(名詞),5
4,病院,びょういん,병원,,명사(名詞),5
5,午後,ごご,오후,,명사(名詞),5
6,話す,はなす,이야기하다,,동사(動詞),5
7,電話,でんわ,전화,,명사(名詞),5
8,手紙,てがみ,편지,,명사(名詞),5
9,学校,がっこう,학교,,명사(名詞),5
10,銀行,ぎんこう,은행,,명사(名詞),5
11,悪い,わるい,나쁘다,,형용사(形容詞),5
12,広い,ひろい,넓다,,형용사(形容詞),5
13,住む,すむ,살다,,동사(動詞),5
14,押す,おす,밀다,,동사(動詞),5
15,物,もの,물건,,명사(名詞),5
16,辞書,じしょ,사전,,명사(名詞),5
17,宿題,しゅくだい,숙제,,명사(名詞),5
18,答える,こたえる,대답하다,,동사(動詞),5
19,電気,でんき,전기,,명사(名詞),5
20,大人,おとな,어른,,명사(名詞),5
21,低い,ひくい,(높이가) 낮다,,형용사(形容詞),5
22,夏,なつ,여름,,명사(名詞),5
23,交番,こうばん,파출소,,명사(名詞),5
24,出口,でぐち,출구,,명사(名詞),5
25,明るい,明るい,밝다,,형용사(形容詞),5
26,ポケット,,주머니,,명사(名詞),5
27,年,とし,나이,,명사(名詞),5
28,去年,きょねん,작년,,명사(名詞),5
29,寝る,ねる,자다,,동사(動詞),5
30,手,て,손,,명사(名詞),5
31,塩,しお,소금,,명사(名詞),5
32,千,せん,천,,명사(名詞),5
33,外国,がいこく,외국,,명사(名詞),5
34,食べ物,たべもの,음식,,명사(名詞),5
35,兄,あに,형,,명사(名詞),5
36,降る,ふる,(비가)내리다,,동사(動詞),5
37,時計,とけい,시계,,명사(名詞),5
38,パソコン,,컴퓨터,,명사(名詞),5
39,川、河,かわ,강,,명사(名詞),5
40,一番,いちばん,"가장, 최상",,명사(名詞),5
41,一人,ひとり,한 명,,명사(名詞),5
42,番号,ばんごう,번호,,명사(名詞),5
43,今週,こんしゅう,이번주,,명사(名詞),5
44,降りる,おりる,내리다,,동사(動詞),5
45,洗う,あらう,"씻다, 닦다",,동사(動詞),5
46,音楽,おんがく,음악,,명사(名詞),5
47,一つ,ひとつ,한개,,명사(名詞),5
48,エレベーター,,엘리베이터,,명사(名詞),5
49,午前,ごぜん,오전,,명사(名詞),5
50,動物,どうぶつ,동물,,명사(名詞),5
51,靴,くつ,신발,,명사(名詞),5
52,高い,たかい,높다,,형용사(形容詞),5
53,教室,きょうしつ,교실,,명사(名詞),5
54,本,ほん,책,,명사(名詞),5
55,デパート,,백화점,,명사(名詞),5
56,生まれる,うまれる,태어나다,,동사(動詞),5
